,room,capacity,time,occupancy,occupancyCount
188,B003,90,Thu Nov 05 13:00:00,25%,22.5
189,B003,90,Thu Nov 05 14:00:00,25%,22.5
190,B003,90,Thu Nov 05 15:00:00,0%,0.0
191,B003,90,Thu Nov 05 16:00:00,0%,0.0
192,B003,90,Fri Nov 06 09:00:00,25%,22.5
193,B003,90,Fri Nov 06 10:00:00,75%,67.5
194,B003,90,Fri Nov 06 11:00:00,25%,22.5
195,B003,90,Fri Nov 06 12:00:00,25%,22.5
196,B003,90,Fri Nov 06 13:00:00,0%,0.0
197,B003,90,Fri Nov 06 14:00:00,75%,67.5
198,B003,90,Fri Nov 06 15:00:00,75%,67.5
199,B003,90,Fri Nov 06 16:00:00,50%,45.0
200,B003,90,Mon Nov 09 09:00:00,50%,45.0
201,B003,90,Mon Nov 09 10:00:00,25%,22.5
202,B003,90,Mon Nov 09 11:00:00,50%,45.0
203,B003,90,Mon Nov 09 12:00:00,50%,45.0
204,B003,90,Mon Nov 09 13:00:00,25%,22.5
205,B003,90,Mon Nov 09 14:00:00,25%,22.5
206,B003,90,Mon Nov 09 15:00:00,25%,22.5
207,B003,90,Mon Nov 09 16:00:00,25%,22.5
208,B003,90,Tue Nov 10 09:00:00,0%,0.0
209,B003,90,Tue Nov 10 10:00:00,0%,0.0
210,B003,90,Tue Nov 10 11:00:00,50%,45.0
211,B003,90,Tue Nov 10 12:00:00,50%,45.0
212,B003,90,Tue Nov 10 13:00:00,25%,22.5
213,B003,90,Tue Nov 10 14:00:00,25%,22.5
214,B003,90,Tue Nov 10 15:00:00,25%,22.5
215,B003,90,Tue Nov 10 16:00:00,0%,0.0
216,B003,90,Wed Nov 11 09:00:00,0%,0.0
217,B003,90,Wed Nov 11 10:00:00,0%,0.0
218,B003,90,Wed Nov 11 11:00:00,75%,67.5
219,B003,90,Wed Nov 11 12:00:00,75%,67.5
220,B003,90,Wed Nov 11 13:00:00,75%,67.5
221,B003,90,Wed Nov 11 14:00:00,50%,45.0
222,B003,90,Wed Nov 11 15:00:00,25%,22.5
223,B003,90,Wed Nov 11 16:00:00,50%,45.0
224,B003,90,Thu Nov 12 09:00:00,0%,0.0
