,campus,building,room,time,associated,authenticated,capacity,occupancy,occupancyCount,module,size
123,Belfield,Computer Science,B002,Tue Nov 03 06:24:45,0.0,0.0,,,,,
124,Belfield,Computer Science,B002,Tue Nov 03 06:34:49,0.0,0.0,,,,,
125,Belfield,Computer Science,B002,Tue Nov 03 06:39:49,0.0,0.0,,,,,
126,Belfield,Computer Science,B002,Tue Nov 03 06:44:51,0.0,0.0,,,,,
127,Belfield,Computer Science,B002,Tue Nov 03 06:49:53,0.0,0.0,,,,,
128,Belfield,Computer Science,B002,Tue Nov 03 06:54:50,0.0,0.0,,,,,
129,Belfield,Computer Science,B002,Tue Nov 03 06:59:56,0.0,0.0,,,,,
130,Belfield,Computer Science,B002,Tue Nov 03 07:04:59,0.0,0.0,,,,,
131,Belfield,Computer Science,B002,Tue Nov 03 07:10:01,0.0,0.0,,,,,
132,Belfield,Computer Science,B002,Tue Nov 03 07:15:02,0.0,0.0,,,,,
133,Belfield,Computer Science,B002,Tue Nov 03 07:20:05,0.0,0.0,,,,,
134,Belfield,Computer Science,B002,Tue Nov 03 07:25:04,0.0,0.0,,,,,
135,Belfield,Computer Science,B002,Tue Nov 03 07:30:10,0.0,0.0,,,,,
136,Belfield,Computer Science,B002,Tue Nov 03 07:35:13,0.0,0.0,,,,,
137,Belfield,Computer Science,B002,Tue Nov 03 07:40:14,0.0,0.0,,,,,
138,Belfield,Computer Science,B002,Tue Nov 03 07:45:18,0.0,0.0,,,,,
139,Belfield,Computer Science,B002,Tue Nov 03 07:50:24,0.0,0.0,,,,,
140,Belfield,Computer Science,B002,Tue Nov 03 07:55:25,0.0,0.0,,,,,
141,Belfield,Computer Science,B002,Tue Nov 03 08:00:32,0.0,0.0,,,,,
142,Belfield,Computer Science,B002,Tue Nov 03 08:05:40,0.0,0.0,,,,,
143,Belfield,Computer Science,B002,Tue Nov 03 08:10:40,0.0,0.0,,,,,
144,Belfield,Computer Science,B002,Tue Nov 03 08:15:44,0.0,0.0,,,,,
145,Belfield,Computer Science,B002,Tue Nov 03 08:20:49,1.0,1.0,,,,,
146,Belfield,Computer Science,B002,Tue Nov 03 08:25:58,3.0,3.0,,,,,
147,Belfield,Computer Science,B002,Tue Nov 03 08:31:04,3.0,3.0,,,,,
148,Belfield,Computer Science,B002,Tue Nov 03 08:36:05,3.0,3.0,,,,,
149,Belfield,Computer Science,B002,Tue Nov 03 08:41:15,2.0,2.0,,,,,
150,Belfield,Computer Science,B002,Tue Nov 03 08:46:24,2.0,2.0,,,,,
151,Belfield,Computer Science,B002,Tue Nov 03 08:51:46,3.0,3.0,,,,,
152,Belfield,Computer Science,B002,Tue Nov 03 08:57:01,4.0,4.0,,,,,
153,Belfield,Computer Science,B002,Tue Nov 03 09:02:20,2.0,2.0,,,,,
154,Belfield,Computer Science,B002,Tue Nov 03 09:07:24,1.0,1.0,,,,,
155,Belfield,Computer Science,B002,Tue Nov 03 09:12:01,0.0,0.0,,,,,
156,Belfield,Computer Science,B002,Tue Nov 03 09:16:53,0.0,0.0,,,,,
157,Belfield,Computer Science,B002,Tue Nov 03 09:21:55,1.0,1.0,,,,,
158,Belfield,Computer Science,B002,Tue Nov 03 09:27:00,2.0,2.0,,,,,
159,Belfield,Computer Science,B002,Tue Nov 03 09:32:07,1.0,1.0,,,,,
160,Belfield,Computer Science,B002,Tue Nov 03 09:37:18,4.0,4.0,,,,,
161,Belfield,Computer Science,B002,Tue Nov 03 09:42:20,4.0,4.0,,,,,
162,Belfield,Computer Science,B002,Tue Nov 03 09:47:30,3.0,3.0,,,,,
163,Belfield,Computer Science,B002,Tue Nov 03 09:52:47,18.0,17.0,,,,,
164,Belfield,Computer Science,B002,Tue Nov 03 09:58:34,21.0,21.0,,,,,
165,Belfield,Computer Science,B002,Tue Nov 03 10:03:51,28.0,27.0,,,,,
166,Belfield,Computer Science,B002,Tue Nov 03 10:08:42,29.0,29.0,,,,,
167,Belfield,Computer Science,B002,Tue Nov 03 10:13:08,29.0,29.0,,,,,
168,Belfield,Computer Science,B002,Tue Nov 03 10:18:06,30.0,30.0,,,,,
169,Belfield,Computer Science,B002,Tue Nov 03 10:23:02,30.0,30.0,,,,,
170,Belfield,Computer Science,B002,Tue Nov 03 10:28:09,31.0,31.0,,,,,
171,Belfield,Computer Science,B002,Tue Nov 03 10:33:16,29.0,29.0,,,,,
172,Belfield,Computer Science,B002,Tue Nov 03 10:38:22,28.0,28.0,,,,,
173,Belfield,Computer Science,B002,Tue Nov 03 10:43:31,26.0,26.0,,,,,
174,Belfield,Computer Science,B002,Tue Nov 03 10:48:43,30.0,30.0,,,,,
175,Belfield,Computer Science,B002,Tue Nov 03 10:54:35,32.0,32.0,,,,,
176,Belfield,Computer Science,B002,Tue Nov 03 11:00:16,23.0,23.0,,,,,
177,Belfield,Computer Science,B002,Tue Nov 03 11:05:25,26.0,26.0,,,,,
178,Belfield,Computer Science,B002,Tue Nov 03 11:10:09,34.0,33.0,,,,,
179,Belfield,Computer Science,B002,Tue Nov 03 11:14:50,29.0,29.0,,,,,
180,Belfield,Computer Science,B002,Tue Nov 03 11:19:48,27.0,27.0,,,,,
181,Belfield,Computer Science,B002,Tue Nov 03 11:24:51,27.0,27.0,,,,,
182,Belfield,Computer Science,B002,Tue Nov 03 11:33:13,28.0,28.0,,,,,
183,Belfield,Computer Science,B002,Tue Nov 03 11:40:38,27.0,27.0,,,,,
184,Belfield,Computer Science,B002,Tue Nov 03 11:45:06,27.0,27.0,,,,,
185,Belfield,Computer Science,B002,Tue Nov 03 11:50:25,36.0,36.0,,,,,
186,Belfield,Computer Science,B002,Tue Nov 03 11:56:07,32.0,32.0,,,,,
187,Belfield,Computer Science,B002,Tue Nov 03 12:01:23,31.0,31.0,,,,,
188,Belfield,Computer Science,B002,Tue Nov 03 12:06:30,20.0,20.0,,,,,
189,Belfield,Computer Science,B002,Tue Nov 03 12:11:07,21.0,21.0,,,,,
190,Belfield,Computer Science,B002,Tue Nov 03 12:15:55,21.0,21.0,,,,,
191,Belfield,Computer Science,B002,Tue Nov 03 12:20:57,20.0,20.0,,,,,
192,Belfield,Computer Science,B002,Tue Nov 03 12:25:58,12.0,12.0,,,,,
193,Belfield,Computer Science,B002,Tue Nov 03 12:31:02,7.0,7.0,,,,,
194,Belfield,Computer Science,B002,Tue Nov 03 12:36:12,6.0,6.0,,,,,
195,Belfield,Computer Science,B002,Tue Nov 03 12:41:24,5.0,5.0,,,,,
196,Belfield,Computer Science,B002,Tue Nov 03 12:46:32,3.0,3.0,,,,,
197,Belfield,Computer Science,B002,Tue Nov 03 12:51:57,3.0,3.0,,,,,
198,Belfield,Computer Science,B002,Tue Nov 03 12:57:37,21.0,21.0,,,,,
199,Belfield,Computer Science,B002,Tue Nov 03 13:03:01,6.0,6.0,,,,,
200,Belfield,Computer Science,B002,Tue Nov 03 13:08:10,6.0,6.0,,,,,
201,Belfield,Computer Science,B002,Tue Nov 03 13:12:42,10.0,10.0,,,,,
202,Belfield,Computer Science,B002,Tue Nov 03 13:17:24,11.0,11.0,,,,,
203,Belfield,Computer Science,B002,Tue Nov 03 13:22:20,12.0,12.0,,,,,
204,Belfield,Computer Science,B002,Tue Nov 03 13:27:29,12.0,11.0,,,,,
205,Belfield,Computer Science,B002,Tue Nov 03 13:32:38,14.0,14.0,,,,,
206,Belfield,Computer Science,B002,Tue Nov 03 13:37:50,15.0,15.0,,,,,
207,Belfield,Computer Science,B002,Tue Nov 03 13:42:55,16.0,16.0,,,,,
208,Belfield,Computer Science,B002,Tue Nov 03 13:48:04,19.0,19.0,,,,,
209,Belfield,Computer Science,B002,Tue Nov 03 13:53:30,29.0,29.0,,,,,
210,Belfield,Computer Science,B002,Tue Nov 03 13:58:56,21.0,21.0,,,,,
211,Belfield,Computer Science,B002,Tue Nov 03 14:04:19,32.0,32.0,,,,,
212,Belfield,Computer Science,B002,Tue Nov 03 14:09:19,46.0,46.0,,,,,
213,Belfield,Computer Science,B002,Tue Nov 03 14:13:37,47.0,47.0,,,,,
214,Belfield,Computer Science,B002,Tue Nov 03 14:18:32,48.0,48.0,,,,,
215,Belfield,Computer Science,B002,Tue Nov 03 14:23:32,48.0,48.0,,,,,
216,Belfield,Computer Science,B002,Tue Nov 03 14:28:46,51.0,51.0,,,,,
217,Belfield,Computer Science,B002,Tue Nov 03 14:34:16,49.0,49.0,,,,,
218,Belfield,Computer Science,B002,Tue Nov 03 14:39:00,46.0,46.0,,,,,
219,Belfield,Computer Science,B002,Tue Nov 03 14:44:09,46.0,46.0,,,,,
220,Belfield,Computer Science,B002,Tue Nov 03 14:49:24,46.0,45.0,,,,,
221,Belfield,Computer Science,B002,Tue Nov 03 14:54:50,51.0,50.0,,,,,
222,Belfield,Computer Science,B002,Tue Nov 03 15:00:19,58.0,56.0,,,,,
223,Belfield,Computer Science,B002,Tue Nov 03 15:05:15,49.0,47.0,,,,,
224,Belfield,Computer Science,B002,Tue Nov 03 15:10:06,49.0,49.0,,,,,
225,Belfield,Computer Science,B002,Tue Nov 03 15:14:28,47.0,47.0,,,,,
226,Belfield,Computer Science,B002,Tue Nov 03 15:19:30,42.0,42.0,,,,,
227,Belfield,Computer Science,B002,Tue Nov 03 15:24:34,34.0,34.0,,,,,
228,Belfield,Computer Science,B002,Tue Nov 03 15:34:49,35.0,35.0,,,,,
229,Belfield,Computer Science,B002,Tue Nov 03 15:39:52,34.0,33.0,,,,,
230,Belfield,Computer Science,B002,Tue Nov 03 15:43:21,34.0,33.0,,,,,
231,Belfield,Computer Science,B002,Tue Nov 03 15:50:39,29.0,29.0,,,,,
232,Belfield,Computer Science,B002,Tue Nov 03 15:55:40,32.0,32.0,,,,,
233,Belfield,Computer Science,B002,Tue Nov 03 16:00:49,34.0,34.0,,,,,
234,Belfield,Computer Science,B002,Tue Nov 03 16:05:49,31.0,31.0,,,,,
235,Belfield,Computer Science,B002,Tue Nov 03 16:10:53,32.0,30.0,,,,,
236,Belfield,Computer Science,B002,Tue Nov 03 16:15:24,36.0,35.0,,,,,
237,Belfield,Computer Science,B002,Tue Nov 03 16:20:35,40.0,39.0,,,,,
238,Belfield,Computer Science,B002,Tue Nov 03 16:25:26,41.0,40.0,,,,,
239,Belfield,Computer Science,B002,Tue Nov 03 16:30:26,40.0,39.0,,,,,
240,Belfield,Computer Science,B002,Tue Nov 03 16:35:32,39.0,39.0,,,,,
241,Belfield,Computer Science,B002,Tue Nov 03 16:40:40,38.0,38.0,,,,,
242,Belfield,Computer Science,B002,Tue Nov 03 16:45:45,37.0,37.0,,,,,
243,Belfield,Computer Science,B002,Tue Nov 03 16:50:59,33.0,33.0,,,,,
244,Belfield,Computer Science,B002,Tue Nov 03 16:56:24,36.0,36.0,,,,,
245,Belfield,Computer Science,B002,Tue Nov 03 17:01:29,35.0,35.0,,,,,
246,Belfield,Computer Science,B002,Tue Nov 03 17:06:22,36.0,36.0,,,,,
247,Belfield,Computer Science,B002,Tue Nov 03 17:11:16,34.0,34.0,,,,,
248,Belfield,Computer Science,B002,Tue Nov 03 17:16:06,35.0,35.0,,,,,
249,Belfield,Computer Science,B002,Tue Nov 03 17:21:14,33.0,33.0,,,,,
250,Belfield,Computer Science,B002,Tue Nov 03 17:26:09,33.0,33.0,,,,,
251,Belfield,Computer Science,B002,Tue Nov 03 17:31:10,31.0,31.0,,,,,
252,Belfield,Computer Science,B002,Tue Nov 03 17:36:17,30.0,30.0,,,,,
253,Belfield,Computer Science,B002,Tue Nov 03 17:41:23,29.0,28.0,,,,,
254,Belfield,Computer Science,B002,Tue Nov 03 17:46:31,32.0,32.0,,,,,
255,Belfield,Computer Science,B002,Tue Nov 03 17:51:37,27.0,26.0,,,,,
256,Belfield,Computer Science,B002,Tue Nov 03 17:56:38,26.0,26.0,,,,,
257,Belfield,Computer Science,B002,Tue Nov 03 18:01:37,19.0,19.0,,,,,
258,Belfield,Computer Science,B002,Tue Nov 03 18:06:37,14.0,14.0,,,,,
259,Belfield,Computer Science,B002,Tue Nov 03 18:12:25,11.0,11.0,,,,,
260,Belfield,Computer Science,B002,Tue Nov 03 18:16:35,11.0,11.0,,,,,
261,Belfield,Computer Science,B002,Tue Nov 03 18:21:38,10.0,10.0,,,,,
262,Belfield,Computer Science,B002,Tue Nov 03 18:26:28,9.0,9.0,,,,,
263,Belfield,Computer Science,B002,Tue Nov 03 18:31:25,8.0,8.0,,,,,
264,Belfield,Computer Science,B002,Tue Nov 03 18:36:35,8.0,8.0,,,,,
265,Belfield,Computer Science,B002,Tue Nov 03 18:41:32,8.0,7.0,,,,,
266,Belfield,Computer Science,B002,Tue Nov 03 18:46:32,6.0,6.0,,,,,
267,Belfield,Computer Science,B002,Tue Nov 03 18:51:33,6.0,6.0,,,,,
268,Belfield,Computer Science,B002,Tue Nov 03 18:56:39,6.0,6.0,,,,,
269,Belfield,Computer Science,B002,Tue Nov 03 19:01:46,4.0,4.0,,,,,
270,Belfield,Computer Science,B002,Tue Nov 03 19:06:49,2.0,2.0,,,,,
271,Belfield,Computer Science,B002,Tue Nov 03 19:11:49,0.0,0.0,,,,,
272,Belfield,Computer Science,B002,Tue Nov 03 19:16:44,0.0,0.0,,,,,
273,Belfield,Computer Science,B002,Tue Nov 03 19:21:50,0.0,0.0,,,,,
