,room,capacity,occupancy,day,month,date,time
261,B1.06,90,50%,Wed,Nov,04,14:00:00
262,B1.06,90,75%,Wed,Nov,04,15:00:00
263,B1.06,90,0%,Wed,Nov,04,16:00:00
264,B1.06,90,0%,Thu,Nov,05,09:00:00
265,B1.06,90,50%,Thu,Nov,05,10:00:00
266,B1.06,90,50%,Thu,Nov,05,11:00:00
267,B1.06,90,50%,Thu,Nov,05,12:00:00
268,B1.06,90,25%,Thu,Nov,05,13:00:00
269,B1.06,90,50%,Thu,Nov,05,14:00:00
270,B1.06,90,25%,Thu,Nov,05,15:00:00
271,B1.06,90,25%,Thu,Nov,05,16:00:00
272,B1.06,90,50%,Fri,Nov,06,09:00:00
273,B1.06,90,50%,Fri,Nov,06,10:00:00
274,B1.06,90,100%,Fri,Nov,06,11:00:00
275,B1.06,90,25%,Fri,Nov,06,12:00:00
276,B1.06,90,0%,Fri,Nov,06,13:00:00
277,B1.06,90,50%,Fri,Nov,06,14:00:00
278,B1.06,90,100%,Fri,Nov,06,15:00:00
279,B1.06,90,75%,Fri,Nov,06,16:00:00
280,B1.06,90,100%,Mon,Nov,09,09:00:00
281,B1.06,90,75%,Mon,Nov,09,10:00:00
282,B1.06,90,0%,Mon,Nov,09,11:00:00
283,B1.06,90,0%,Mon,Nov,09,12:00:00
284,B1.06,90,25%,Mon,Nov,09,13:00:00
285,B1.06,90,50%,Mon,Nov,09,14:00:00
286,B1.06,90,100%,Mon,Nov,09,15:00:00
287,B1.06,90,75%,Mon,Nov,09,16:00:00
288,B1.06,90,0%,Tue,Nov,10,09:00:00
289,B1.06,90,0%,Tue,Nov,10,10:00:00
290,B1.06,90,75%,Tue,Nov,10,11:00:00
291,B1.06,90,75%,Tue,Nov,10,12:00:00
292,B1.06,90,50%,Tue,Nov,10,13:00:00
293,B1.06,90,75%,Tue,Nov,10,14:00:00
294,B1.06,90,50%,Tue,Nov,10,15:00:00
295,B1.06,90,50%,Tue,Nov,10,16:00:00
296,B1.06,90,75%,Wed,Nov,11,09:00:00
297,B1.06,90,50%,Wed,Nov,11,10:00:00
298,B1.06,90,25%,Wed,Nov,11,11:00:00
299,B1.06,90,25%,Wed,Nov,11,12:00:00
300,B1.06,90,25%,Wed,Nov,11,13:00:00
